"level0","level1","level2","Age group and sex","count"
"35–39 Years","Ohariu","North Island general electorates","Female",2481
"40–44 Years","Ohariu","North Island general electorates","Female",2823
"45–49 Years","Ohariu","North Island general electorates","Female",2625
"50–54 Years","Ohariu","North Island general electorates","Female",2334
"55–59 Years","Ohariu","North Island general electorates","Female",1821
"60–64 Years","Ohariu","North Island general electorates","Female",1461
"65–69 Years","Ohariu","North Island general electorates","Female",1212
"70–74 Years","Ohariu","North Island general electorates","Female",816
"75–79 Years","Ohariu","North Island general electorates","Female",525
"80–84 Years","Ohariu","North Island general electorates","Female",420
"85 Years And Over","Ohariu","North Island general electorates","Female",453
"18 Years And Over","Ohariu","North Island general electorates","Female",23379
"0–4 Years","Otaki","North Island general electorates","Female",1806
"5–9 Years","Otaki","North Island general electorates","Female",1932
"10–14 Years","Otaki","North Island general electorates","Female",2031
"15–19 Years","Otaki","North Island general electorates","Female",1851
"20–24 Years","Otaki","North Island general electorates","Female",1353
"25–29 Years","Otaki","North Island general electorates","Female",1191
"30–34 Years","Otaki","North Island general electorates","Female",1293
"35–39 Years","Otaki","North Island general electorates","Female",1668
"40–44 Years","Otaki","North Island general electorates","Female",2217
"45–49 Years","Otaki","North Island general electorates","Female",2331
"50–54 Years","Otaki","North Island general electorates","Female",2436
"55–59 Years","Otaki","North Island general electorates","Female",2196
"60–64 Years","Otaki","North Island general electorates","Female",2382
"65–69 Years","Otaki","North Island general electorates","Female",2568
"70–74 Years","Otaki","North Island general electorates","Female",2247
"75–79 Years","Otaki","North Island general electorates","Female",1752
"80–84 Years","Otaki","North Island general electorates","Female",1392
"85 Years And Over","Otaki","North Island general electorates","Female",1410
"18 Years And Over","Otaki","North Island general electorates","Female",27012
"0–4 Years","Pakuranga","North Island general electorates","Female",1779
"5–9 Years","Pakuranga","North Island general electorates","Female",1878
"10–14 Years","Pakuranga","North Island general electorates","Female",2115
"15–19 Years","Pakuranga","North Island general electorates","Female",2355
"20–24 Years","Pakuranga","North Island general electorates","Female",1905
"25–29 Years","Pakuranga","North Island general electorates","Female",1725
"30–34 Years","Pakuranga","North Island general electorates","Female",1899
"35–39 Years","Pakuranga","North Island general electorates","Female",2133
"40–44 Years","Pakuranga","North Island general electorates","Female",2694
"45–49 Years","Pakuranga","North Island general electorates","Female",2508
"50–54 Years","Pakuranga","North Island general electorates","Female",2286
"55–59 Years","Pakuranga","North Island general electorates","Female",1932
"60–64 Years","Pakuranga","North Island general electorates","Female",1689
"65–69 Years","Pakuranga","North Island general electorates","Female",1467
"70–74 Years","Pakuranga","North Island general electorates","Female",1158
"75–79 Years","Pakuranga","North Island general electorates","Female",789
"80–84 Years","Pakuranga","North Island general electorates","Female",687
"85 Years And Over","Pakuranga","North Island general electorates","Female",855
"18 Years And Over","Pakuranga","North Island general electorates","Female",24552
"0–4 Years","Palmerston North","North Island general electorates","Female",2310
"5–9 Years","Palmerston North","North Island general electorates","Female",2076
"10–14 Years","Palmerston North","North Island general electorates","Female",2040
"15–19 Years","Palmerston North","North Island general electorates","Female",2640
"20–24 Years","Palmerston North","North Island general electorates","Female",3501
"25–29 Years","Palmerston North","North Island general electorates","Female",2601
"30–34 Years","Palmerston North","North Island general electorates","Female",2292
"35–39 Years","Palmerston North","North Island general electorates","Female",2112
"40–44 Years","Palmerston North","North Island general electorates","Female",2205
"45–49 Years","Palmerston North","North Island general electorates","Female",2049
"50–54 Years","Palmerston North","North Island general electorates","Female",2265
"55–59 Years","Palmerston North","North Island general electorates","Female",1920
"60–64 Years","Palmerston North","North Island general electorates","Female",1698
"65–69 Years","Palmerston North","North Island general electorates","Female",1431
"70–74 Years","Palmerston North","North Island general electorates","Female",1164
"75–79 Years","Palmerston North","North Island general electorates","Female",960
"80–84 Years","Palmerston North","North Island general electorates","Female",801
"85 Years And Over","Palmerston North","North Island general electorates","Female",876
"18 Years And Over","Palmerston North","North Island general electorates","Female",27210
"0–4 Years","Papakura","North Island general electorates","Female",3066
"5–9 Years","Papakura","North Island general electorates","Female",2910
"10–14 Years","Papakura","North Island general electorates","Female",2679
"15–19 Years","Papakura","North Island general electorates","Female",2703
"20–24 Years","Papakura","North Island general electorates","Female",2646
"25–29 Years","Papakura","North Island general electorates","Female",2448
"30–34 Years","Papakura","North Island general electorates","Female",2481
"35–39 Years","Papakura","North Island general electorates","Female",2499
"40–44 Years","Papakura","North Island general electorates","Female",2778
"45–49 Years","Papakura","North Island general electorates","Female",2718
