"level0","level1","level2","Birthplace (broad geographic area) and years since arrival in New Zealand ","count"
"Europe (excluding United Kingdom and Ireland)","Upper Harbour","North Island general electorates","5–9 Years",288
"North America","Upper Harbour","North Island general electorates","5–9 Years",87
"Asia","Upper Harbour","North Island general electorates","5–9 Years",2271
"Middle East and Africa","Upper Harbour","North Island general electorates","5–9 Years",981
"Other","Upper Harbour","North Island general electorates","5–9 Years",87
"Not elsewhere included(7)","Upper Harbour","North Island general electorates","5–9 Years",NA
"Australia(3)","Waikato","North Island general electorates","5–9 Years",159
"Pacific Islands(4)","Waikato","North Island general electorates","5–9 Years",144
"United Kingdom and Ireland(5)","Waikato","North Island general electorates","5–9 Years",666
"Europe (excluding United Kingdom and Ireland)","Waikato","North Island general electorates","5–9 Years",108
"North America","Waikato","North Island general electorates","5–9 Years",54
"Asia","Waikato","North Island general electorates","5–9 Years",282
"Middle East and Africa","Waikato","North Island general electorates","5–9 Years",360
"Other","Waikato","North Island general electorates","5–9 Years",54
"Not elsewhere included(7)","Waikato","North Island general electorates","5–9 Years",NA
"Australia(3)","Wairarapa","North Island general electorates","5–9 Years",120
"Pacific Islands(4)","Wairarapa","North Island general electorates","5–9 Years",72
"United Kingdom and Ireland(5)","Wairarapa","North Island general electorates","5–9 Years",591
"Europe (excluding United Kingdom and Ireland)","Wairarapa","North Island general electorates","5–9 Years",123
"North America","Wairarapa","North Island general electorates","5–9 Years",60
"Asia","Wairarapa","North Island general electorates","5–9 Years",144
"Middle East and Africa","Wairarapa","North Island general electorates","5–9 Years",96
"Other","Wairarapa","North Island general electorates","5–9 Years",9
"Not elsewhere included(7)","Wairarapa","North Island general electorates","5–9 Years",NA
"Australia(3)","Wellington Central","North Island general electorates","5–9 Years",180
"Pacific Islands(4)","Wellington Central","North Island general electorates","5–9 Years",96
"United Kingdom and Ireland(5)","Wellington Central","North Island general electorates","5–9 Years",1041
"Europe (excluding United Kingdom and Ireland)","Wellington Central","North Island general electorates","5–9 Years",339
"North America","Wellington Central","North Island general electorates","5–9 Years",240
"Asia","Wellington Central","North Island general electorates","5–9 Years",996
"Middle East and Africa","Wellington Central","North Island general electorates","5–9 Years",234
"Other","Wellington Central","North Island general electorates","5–9 Years",75
"Not elsewhere included(7)","Wellington Central","North Island general electorates","5–9 Years",NA
"Australia(3)","Whanganui","North Island general electorates","5–9 Years",153
"Pacific Islands(4)","Whanganui","North Island general electorates","5–9 Years",135
"United Kingdom and Ireland(5)","Whanganui","North Island general electorates","5–9 Years",453
"Europe (excluding United Kingdom and Ireland)","Whanganui","North Island general electorates","5–9 Years",108
"North America","Whanganui","North Island general electorates","5–9 Years",30
"Asia","Whanganui","North Island general electorates","5–9 Years",186
"Middle East and Africa","Whanganui","North Island general electorates","5–9 Years",174
"Other","Whanganui","North Island general electorates","5–9 Years",24
"Not elsewhere included(7)","Whanganui","North Island general electorates","5–9 Years",NA
"Australia(3)","Whangarei","North Island general electorates","5–9 Years",180
"Pacific Islands(4)","Whangarei","North Island general electorates","5–9 Years",99
"United Kingdom and Ireland(5)","Whangarei","North Island general electorates","5–9 Years",777
"Europe (excluding United Kingdom and Ireland)","Whangarei","North Island general electorates","5–9 Years",192
"North America","Whangarei","North Island general electorates","5–9 Years",102
"Asia","Whangarei","North Island general electorates","5–9 Years",348
"Middle East and Africa","Whangarei","North Island general electorates","5–9 Years",336
"Other","Whangarei","North Island general electorates","5–9 Years",18
"Not elsewhere included(7)","Whangarei","North Island general electorates","5–9 Years",NA
"Australia(3)","Christchurch Central","South Island general electorates","5–9 Years",195
"Pacific Islands(4)","Christchurch Central","South Island general electorates","5–9 Years",222
"United Kingdom and Ireland(5)","Christchurch Central","South Island general electorates","5–9 Years",729
"Europe (excluding United Kingdom and Ireland)","Christchurch Central","South Island general electorates","5–9 Years",219
"North America","Christchurch Central","South Island general electorates","5–9 Years",108
"Asia","Christchurch Central","South Island general electorates","5–9 Years",1008
"Middle East and Africa","Christchurch Central","South Island general electorates","5–9 Years",282
"Other","Christchurch Central","South Island general electorates","5–9 Years",75
"Not elsewhere included(7)","Christchurch Central","South Island general electorates","5–9 Years",NA
"Australia(3)","Christchurch East","South Island general electorates","5–9 Years",177
"Pacific Islands(4)","Christchurch East","South Island general electorates","5–9 Years",189
"United Kingdom and Ireland(5)","Christchurch East","South Island general electorates","5–9 Years",636
"Europe (excluding United Kingdom and Ireland)","Christchurch East","South Island general electorates","5–9 Years",171
"North America","Christchurch East","South Island general electorates","5–9 Years",72
"Asia","Christchurch East","South Island general electorates","5–9 Years",384
"Middle East and Africa","Christchurch East","South Island general electorates","5–9 Years",156
"Other","Christchurch East","South Island general electorates","5–9 Years",21
"Not elsewhere included(7)","Christchurch East","South Island general electorates","5–9 Years",NA
"Australia(3)","Clutha-Southland","South Island general electorates","5–9 Years",222
"Pacific Islands(4)","Clutha-Southland","South Island general electorates","5–9 Years",81
"United Kingdom and Ireland(5)","Clutha-Southland","South Island general electorates","5–9 Years",867
"Europe (excluding United Kingdom and Ireland)","Clutha-Southland","South Island general electorates","5–9 Years",231
"North America","Clutha-Southland","South Island general electorates","5–9 Years",111
"Asia","Clutha-Southland","South Island general electorates","5–9 Years",453
"Middle East and Africa","Clutha-Southland","South Island general electorates","5–9 Years",177
"Other","Clutha-Southland","South Island general electorates","5–9 Years",234
"Not elsewhere included(7)","Clutha-Southland","South Island general electorates","5–9 Years",NA
"Australia(3)","Dunedin North","South Island general electorates","5–9 Years",207
"Pacific Islands(4)","Dunedin North","South Island general electorates","5–9 Years",99
"United Kingdom and Ireland(5)","Dunedin North","South Island general electorates","5–9 Years",669
"Europe (excluding United Kingdom and Ireland)","Dunedin North","South Island general electorates","5–9 Years",153
"North America","Dunedin North","South Island general electorates","5–9 Years",192
"Asia","Dunedin North","South Island general electorates","5–9 Years",660
"Middle East and Africa","Dunedin North","South Island general electorates","5–9 Years",243
"Other","Dunedin North","South Island general electorates","5–9 Years",33
"Not elsewhere included(7)","Dunedin North","South Island general electorates","5–9 Years",NA
"Australia(3)","Dunedin South","South Island general electorates","5–9 Years",144
"Pacific Islands(4)","Dunedin South","South Island general electorates","5–9 Years",66
"United Kingdom and Ireland(5)","Dunedin South","South Island general electorates","5–9 Years",642
"Europe (excluding United Kingdom and Ireland)","Dunedin South","South Island general electorates","5–9 Years",123
"North America","Dunedin South","South Island general electorates","5–9 Years",96
"Asia","Dunedin South","South Island general electorates","5–9 Years",228
"Middle East and Africa","Dunedin South","South Island general electorates","5–9 Years",147
"Other","Dunedin South","South Island general electorates","5–9 Years",18
"Not elsewhere included(7)","Dunedin South","South Island general electorates","5–9 Years",NA
"Australia(3)","Ilam","South Island general electorates","5–9 Years",165
