"level0","level1","level2","Māori descent indicator(1) ","count"
"50–54 Years","Hunua","North Island general electorates","No Māori descent",3846
"55–59 Years","Hunua","North Island general electorates","No Māori descent",3192
"60–64 Years","Hunua","North Island general electorates","No Māori descent",2862
"65–69 Years","Hunua","North Island general electorates","No Māori descent",2418
"70–74 Years","Hunua","North Island general electorates","No Māori descent",1809
"75–79 Years","Hunua","North Island general electorates","No Māori descent",1128
"80–84 Years","Hunua","North Island general electorates","No Māori descent",762
"85 Years And Over","Hunua","North Island general electorates","No Māori descent",681
"18 Years And Over","Hunua","North Island general electorates","No Māori descent",36396
"0–4 Years","Hutt South","North Island general electorates","No Māori descent",3132
"5–9 Years","Hutt South","North Island general electorates","No Māori descent",3111
"10–14 Years","Hutt South","North Island general electorates","No Māori descent",2973
"15–19 Years","Hutt South","North Island general electorates","No Māori descent",2997
"20–24 Years","Hutt South","North Island general electorates","No Māori descent",2958
"25–29 Years","Hutt South","North Island general electorates","No Māori descent",2922
"30–34 Years","Hutt South","North Island general electorates","No Māori descent",3360
"35–39 Years","Hutt South","North Island general electorates","No Māori descent",3522
"40–44 Years","Hutt South","North Island general electorates","No Māori descent",4095
"45–49 Years","Hutt South","North Island general electorates","No Māori descent",4050
"50–54 Years","Hutt South","North Island general electorates","No Māori descent",4047
"55–59 Years","Hutt South","North Island general electorates","No Māori descent",3513
"60–64 Years","Hutt South","North Island general electorates","No Māori descent",2973
"65–69 Years","Hutt South","North Island general electorates","No Māori descent",2403
"70–74 Years","Hutt South","North Island general electorates","No Māori descent",1848
"75–79 Years","Hutt South","North Island general electorates","No Māori descent",1251
"80–84 Years","Hutt South","North Island general electorates","No Māori descent",921
"85 Years And Over","Hutt South","North Island general electorates","No Māori descent",735
"18 Years And Over","Hutt South","North Island general electorates","No Māori descent",39747
"0–4 Years","Kelston","North Island general electorates","No Māori descent",3531
"5–9 Years","Kelston","North Island general electorates","No Māori descent",3018
"10–14 Years","Kelston","North Island general electorates","No Māori descent",2868
"15–19 Years","Kelston","North Island general electorates","No Māori descent",3012
"20–24 Years","Kelston","North Island general electorates","No Māori descent",3348
"25–29 Years","Kelston","North Island general electorates","No Māori descent",3462
"30–34 Years","Kelston","North Island general electorates","No Māori descent",3777
"35–39 Years","Kelston","North Island general electorates","No Māori descent",3555
"40–44 Years","Kelston","North Island general electorates","No Māori descent",3603
"45–49 Years","Kelston","North Island general electorates","No Māori descent",3237
"50–54 Years","Kelston","North Island general electorates","No Māori descent",3099
"55–59 Years","Kelston","North Island general electorates","No Māori descent",2610
"60–64 Years","Kelston","North Island general electorates","No Māori descent",1980
"65–69 Years","Kelston","North Island general electorates","No Māori descent",1596
"70–74 Years","Kelston","North Island general electorates","No Māori descent",1152
"75–79 Years","Kelston","North Island general electorates","No Māori descent",792
"80–84 Years","Kelston","North Island general electorates","No Māori descent",567
"85 Years And Over","Kelston","North Island general electorates","No Māori descent",417
"18 Years And Over","Kelston","North Island general electorates","No Māori descent",34461
"0–4 Years","Mana","North Island general electorates","No Māori descent",3276
"5–9 Years","Mana","North Island general electorates","No Māori descent",3288
"10–14 Years","Mana","North Island general electorates","No Māori descent",3228
"15–19 Years","Mana","North Island general electorates","No Māori descent",3000
"20–24 Years","Mana","North Island general electorates","No Māori descent",2541
"25–29 Years","Mana","North Island general electorates","No Māori descent",2325
"30–34 Years","Mana","North Island general electorates","No Māori descent",2850
"35–39 Years","Mana","North Island general electorates","No Māori descent",3480
"40–44 Years","Mana","North Island general electorates","No Māori descent",3993
"45–49 Years","Mana","North Island general electorates","No Māori descent",3876
"50–54 Years","Mana","North Island general electorates","No Māori descent",3642
"55–59 Years","Mana","North Island general electorates","No Māori descent",3183
"60–64 Years","Mana","North Island general electorates","No Māori descent",2799
"65–69 Years","Mana","North Island general electorates","No Māori descent",2262
"70–74 Years","Mana","North Island general electorates","No Māori descent",1608
"75–79 Years","Mana","North Island general electorates","No Māori descent",1026
"80–84 Years","Mana","North Island general electorates","No Māori descent",783
"85 Years And Over","Mana","North Island general electorates","No Māori descent",609
"18 Years And Over","Mana","North Island general electorates","No Māori descent",36123
"0–4 Years","Mangere","North Island general electorates","No Māori descent",3972
"5–9 Years","Mangere","North Island general electorates","No Māori descent",3816
"10–14 Years","Mangere","North Island general electorates","No Māori descent",3864
"15–19 Years","Mangere","North Island general electorates","No Māori descent",3807
"20–24 Years","Mangere","North Island general electorates","No Māori descent",3801
"25–29 Years","Mangere","North Island general electorates","No Māori descent",3222
